,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
867,CSJ 7895 (235),CSJ7895(235)/,"CSJ 7895 (235) Брюки типа ""лосины"" для девочки","CSJ 7895 (235) Брюки типа ""лосины"" для девочки Лиловый (146)-76",Лиловый,(146)-76,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
868,CSK 62366 (223) ,CSK62366(223)/,CSK 62366 (223) Джемпер для девочки,CSK 62366 (223) Джемпер для девочки Т.синий-Белый (134)-68,Т.синий-Белый,(134)-68,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
869,CSJ 62419 (234),CSJ62419(234)/,CSJ 62419 (234) Футболка для девочки,CSJ 62419 (234) Футболка для девочки Бирюзовый (128)-64,Бирюзовый,(128)-64,3,Женский,"кулирная гладь, 100% хлопок"
870,CSK 62431 (226),CSK62431(226)/,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Св.розовый (122)-64,Св.розовый,(122)-64,3,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
871,CSJ 62387 (238),CSJ62387(238)/,CSJ 62387 (238) Футболка для мальчика,CSJ 62387 (238) Футболка для мальчика Синий (128)-64,Синий,(128)-64,3,Мужской,"кулирная гладь, 100% хлопок"
872,CSJ 62412 (239),CSJ62412(239)/,CSJ 62412 (239) Футболка для мальчика,CSJ 62412 (239) Футболка для мальчика Экрю (146)-76,Экрю,(146)-76,1,Мужской,"кулирная гладь, 100% хлопок"
873,CSJ 62414 (239),CSJ62414(239)/,CSJ 62414 (239) Футболка для мальчика,CSJ 62414 (239) Футболка для мальчика Т.синий (140)-72,Т.синий,(140)-72,3,Мужской,"кулирная гладь, 100% хлопок"
874,CSJ 62421 (234),CSJ62421(234)/,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Экрю (146)-76,Экрю,(146)-76,1,Женский,"кулирная гладь, 100% хлопок"
875,CSJ 62411 (233),CSJ62411(233)/,"CSJ 62411 (233) Платье типа ""туника"" для девочки","CSJ 62411 (233) Платье типа ""туника"" для девочки Желтый-Белый (134)-68",Желтый-Белый,(134)-68,6,Женский,"кулирная гладь, 100% хлопок"
876,CSK 62370 (223),CSK62370(223)/,CSK 62370 (223) Футболка для девочки,CSK 62370 (223) Футболка для девочки Красный (092)-52,Красный,(092)-52,3,Женский,"кулирная гладь, 100% хлопок"
877,CSK 62417 (231) ,CSK62417(231)/,CSK 62417 (231) Футболка для мальчика,CSK 62417 (231) Футболка для мальчика Зеленый (134)-68,Зеленый,(134)-68,2,Мужской,"кулирная гладь, 100% хлопок"
878,CSK 62418 (231),CSK62418(231)/,CSK 62418 (231) Футболка для мальчика,CSK 62418 (231) Футболка для мальчика Бирюзовый (104)-56,Бирюзовый,(104)-56,3,Мужской,"кулирная гладь, 97% хлопок, 3% п/э"
879,CSJ 7877 (239),CSJ7877(239)/,CSJ 7877 (239) Шорты для мальчика,CSJ 7877 (239) Шорты для мальчика Т.синий (128)-64,Т.синий,(128)-64,3,Мужской,"кулирная гладь, 100% хлопок"
880,CSK 7873 (230),CSK7873(230)/,CSK 7873 (230) Шорты для мальчика,CSK 7873 (230) Шорты для мальчика Синий (110)-60,Синий,(110)-60,3,Мужской,"кулирная гладь, 100% хлопок"
881,CSJ 62386 (238),CSJ62386(238)/,CSJ 62386 (238) Футболка для мальчика,CSJ 62386 (238) Футболка для мальчика Белый-Т.синий (134)-68,Белый-Т.синий,(134)-68,2,Мужской,"кулирная гладь, 100% хлопок"
882,CJ 7T122 (234) ,CJ7T122(234)/,CJ 7T122 (234) Шорты для девочки,CJ 7T122 (234) Шорты для девочки Т.синий (146)-76,Т.синий,(146)-76,1,Женский,"поплин, 100% хлопок"
883,CJ 7T120 (239) ,CJ7T120(239)/,CJ 7T120 (239) Шорты для мальчика,CJ 7T120 (239) Шорты для мальчика Т.серый (146)-76,Т.серый,(146)-76,1,Мужской,"поплин, 100% хлопок"
884,CAJ 62443-1 ,CAJ62443-1/,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (110)-60,Серый меланж,(110)-60,24,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан"
885,CAJ 7588-1,CAJ7588-1/,CAJ 7588-1 Шорты для мальчика,CAJ 7588-1 Шорты для мальчика Серый меланж (152)-80,Серый меланж,(152)-80,33,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
886,CAJ 62446 ,CAJ62446/,CAJ 62446 Джемпер для девочки,CAJ 62446 Джемпер для девочки Белый (164)-84,Белый,(164)-84,28,Женский,"кулирная гладь, 92% хлопок, 8% элатсан; сетка, 90% нейлон, 10% эластан"
887,CAJ 62457 ,CAJ62457/,CAJ 62457 Джемпер для девочки,CAJ 62457 Джемпер для девочки Св.розовый (152)-80,Св.розовый,(152)-80,17,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
888,CAJ 62453 ,CAJ62453/,CAJ 62453 Водолазка для девочки,CAJ 62453 Водолазка для девочки Т.синий-Белый (146)-76,Т.синий-Белый,(146)-76,26,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
889,CAJ 5447 ,CAJ5447/,"CAJ 5447 Комплект для мальчика (футболка, шорты)","CAJ 5447 Комплект для мальчика (футболка, шорты) Красный-Серый (128)-64",Красный-Серый,(128)-64,20,Мужской,"кулирная гладь, 100% хлопок"
890,CAK 5420 ,CAK5420/,"CAK 5420 Комплект для девочки (футболка, шорты)","CAK 5420 Комплект для девочки (футболка, шорты) Сиреневый (122)-64",Сиреневый,(122)-64,62,Женский,"кулирная гладь, 100% хлопок"
891,CAB 2351,CAB2351/,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Розовый (086)-52,Розовый,(086)-52,13,Женский,"рибана, 100% хлопок"
892,CAJ 5432,CAJ5432/,"CAJ 5432 Платье модель ""туника"" для девочки","CAJ 5432 Платье модель ""туника"" для девочки Св.бирюзовый (128)-64",Св.бирюзовый,(128)-64,32,Женский,"кулирная гладь, 100% хлопок"
893,CAK 5421 ,CAK5421/,"CAK 5421 Платье модель ""туника"" для девочки","CAK 5421 Платье модель ""туника"" для девочки Св.розовый (110)-60",Св.розовый,(110)-60,34,Женский,"кулирная гладь, 100% хлопок"
894,CAK 1501 ,CAK1501/,CAK 1501 Трусы для девочки,CAK 1501 Трусы для девочки Св.голубой (080)-48,Св.голубой,(080)-48,7,Женский,"рибана, 100% хлопок"
895,CAB 1496,CAB1496/,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (062)-40,Св.розовый,(062)-40,23,Женский,"рибана, 100% хлопок"
896,CAK 2353 ,CAK2353/,CAK 2353 Майка для девочки,CAK 2353 Майка для девочки Св.желтый (122-128)-64,Св.желтый,(122-128)-64,20,Женский,"рибана, 100% хлопок"
897,CWB 7931 (248) ,CWB7931(248)/,CWB 7931 (248) Ползунки ясельные,CWB 7931 (248) Ползунки ясельные Св.розовый (074)-48,Св.розовый,(074)-48,10,Женский,"интерлок, 100% хлопок"
898,CAJ 1499 ,CAJ1499/,CAJ 1499 Трусы для девочки,CAJ 1499 Трусы для девочки Св.розовый (152-158)-80,Св.розовый,(152-158)-80,2,Женский,"рибана, 100% хлопок"
899,CWK 7905 (240) ,CWK7905(240)/,CWK 7905 (240) Брюки для девочки,CWK 7905 (240) Брюки для девочки Розовый (110)-60,Розовый,(110)-60,4,Женский,"футер с начесом, 100% хлопок"
